aluno_id,Aluno,Sala,Unidade,prep_score,attendance_score,homework_score,interaction_score,engajamento,cluster
Estudante 15::Four Corners C2::Vila Sônia (tarde),Estudante 15,Four Corners C2,Vila Sônia (tarde),0.7857142857142857,0.8571428571428571,0.7857142857142857,0.9047619047619048,0.9142857142857143,0
Estudante 15::Four Corners D1::Capão Redondo,Estudante 15,Four Corners D1,Capão Redondo,0.8214285714285714,0.9285714285714286,0.6785714285714286,0.9523809523809524,0.9428571428571428,0
Estudante 15::Four Corners D1::Diadema,Estudante 15,Four Corners D1,Diadema,0.7857142857142857,0.9285714285714286,0.42857142857142855,0.9047619047619048,0.875,0
Estudante 15::Four Corners D1::Jabaquara,Estudante 15,Four Corners D1,Jabaquara,0.8571428571428571,0.9285714285714286,0.6428571428571429,0.8571428571428571,0.932142857142857,0
Estudante 15::Four Corners D1::Rio de Janeiro,Estudante 15,Four Corners D1,Rio de Janeiro,0.0,0.0,0.0,0.3333333333333333,0.049999999999999996,1
Estudante 15::Four Corners D1::Unidade Virtual (aulas aos domingos),Estudante 15,Four Corners D1,Unidade Virtual (aulas aos domingos),0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.9285714285714285,0
Estudante 15::Four Corners D1::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners D1,Unidade Virtual (aulas aos sábados),0.4642857142857143,0.6428571428571429,0.4642857142857143,0.7142857142857143,0.6285714285714287,2
Estudante 15::Four Corners D1::Vila Sônia (manhã),Estudante 15,Four Corners D1,Vila Sônia (manhã),0.21428571428571427,0.21428571428571427,0.07142857142857142,0.5238095238095238,0.25357142857142856,1
Estudante 15::Four Corners D1::Vila Sônia (tarde),Estudante 15,Four Corners D1,Vila Sônia (tarde),0.7857142857142857,0.7857142857142857,0.6428571428571429,0.47619047619047616,0.7892857142857144,2
Estudante 15::Four Corners D2::Vila Sônia (manhã),Estudante 15,Four Corners D2,Vila Sônia (manhã),0.7142857142857143,0.7857142857142857,0.5714285714285714,0.8095238095238095,0.8035714285714285,0
Estudante 15::Four Corners E1::Capão Redondo,Estudante 15,Four Corners E1,Capão Redondo,0.6785714285714286,0.7857142857142857,0.7857142857142857,0.9047619047619048,0.85,0
Estudante 15::Four Corners E1::Diadema,Estudante 15,Four Corners E1,Diadema,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.47619047619047616,0.17142857142857143,1
Estudante 15::Four Corners E1::Rio de Janeiro,Estudante 15,Four Corners E1,Rio de Janeiro,0.14285714285714285,0.14285714285714285,0.0,0.4523809523809524,0.175,1
Estudante 15::Four Corners E1::Unidade Virtual (aulas aos domingos),Estudante 15,Four Corners E1,Unidade Virtual (aulas aos domingos),0.35714285714285715,0.5714285714285714,0.32142857142857145,0.6666666666666667,0.5285714285714286,3
Estudante 15::Four Corners E1::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners E1,Unidade Virtual (aulas aos sábados),0.75,0.7142857142857143,0.75,0.619047619047619,0.7892857142857143,2
Estudante 15::Four Corners E1::Vila Sônia (manhã),Estudante 15,Four Corners E1,Vila Sônia (manhã),0.35714285714285715,0.7142857142857143,0.5,0.7619047619047619,0.6428571428571429,2
Estudante 15::Four Corners E2::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners E2,Unidade Virtual (aulas aos sábados),0.21428571428571427,0.6428571428571429,0.0,0.5714285714285714,0.43928571428571433,3
Estudante 15::Four Corners F1::Jabaquara,Estudante 15,Four Corners F1,Jabaquara,0.42857142857142855,0.5714285714285714,0.6428571428571429,0.5952380952380952,0.6035714285714285,2
Estudante 15::Four Corners F1::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners F1,Unidade Virtual (aulas aos sábados),0.7857142857142857,0.8571428571428571,0.6785714285714286,0.9047619047619048,0.8928571428571427,0
Estudante 15::Four Corners F1::Vila Sônia (manhã),Estudante 15,Four Corners F1,Vila Sônia (manhã),0.5357142857142857,0.8571428571428571,0.5,0.9047619047619048,0.7821428571428571,2
Estudante 15::Four Corners F2::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners F2,Unidade Virtual (aulas aos sábados),0.5,0.6428571428571429,0.7857142857142857,0.6666666666666667,0.6964285714285714,2
Estudante 15::Four Corners G1::Campinas,Estudante 15,Four Corners G1,Campinas,0.39285714285714285,0.9285714285714286,0.5,0.7619047619047619,0.75,2
Estudante 15::Four Corners G1::Rio de Janeiro,Estudante 15,Four Corners G1,Rio de Janeiro,0.8571428571428571,0.6428571428571429,0.75,0.8095238095238095,0.8178571428571428,0
Estudante 15::Four Corners G1::Vila Sônia (manhã),Estudante 15,Four Corners G1,Vila Sônia (manhã),0.8214285714285714,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.8964285714285714,0
Estudante 15::Four Corners G2::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners G2,Unidade Virtual (aulas aos sábados),0.5,0.6428571428571429,0.5357142857142857,0.6666666666666667,0.6464285714285714,2
Estudante 15::Four Corners H1::Tatuapé,Estudante 15,Four Corners H1,Tatuapé,0.8571428571428571,0.9285714285714286,0.7857142857142857,0.7142857142857143,0.9392857142857142,0
Estudante 15::Four Corners H1::Unidade Virtual (aulas aos domingos),Estudante 15,Four Corners H1,Unidade Virtual (aulas aos domingos),0.8571428571428571,0.7857142857142857,0.7857142857142857,0.7619047619047619,0.8821428571428571,0
Estudante 15::Four Corners H1::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners H1,Unidade Virtual (aulas aos sábados),0.8571428571428571,0.7142857142857143,0.7857142857142857,0.7619047619047619,0.8499999999999999,0
Estudante 15::Four Corners H2::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners H2,Unidade Virtual (aulas aos sábados),0.4642857142857143,0.5,0.42857142857142855,0.5714285714285714,0.5357142857142857,3
Estudante 15::Four Corners H3::Unidade Virtual (aulas aos sábados),Estudante 15,Four Corners H3,Unidade Virtual (aulas aos sábados),0.8571428571428571,0.9285714285714286,0.75,0.9523809523809524,0.9678571428571427,0
